Cluster,Site Name
Cluster 1083,High Street
Cluster 109,Palmers Road
Cluster 1097,Avonside Drive_ONE
Cluster 1151,Claydon Place
Cluster 11768,Don Buck Road
Cluster 12840,Smartlea Street
Cluster 1331,Landy Street
Cluster 1386,Bower Avenue_ONE
Cluster 1503,Bower Avenue_TWO
Cluster 1653,Breezes Road_ONE
Cluster 1710,Bridge Street
Cluster 17131,Cambridge Road
Cluster 18705,Bishops Road
Cluster 19102,Bideford Place
Cluster 19103,Geraldine Street
Cluster 19108,Heriott Close
Cluster 19150,Sinclair Street
Cluster 19273,Colombo Street
Cluster 19340,Kilmore Street
Cluster 19398,Welcome Bay Road
Cluster 19441,Avalon Street
Cluster 19526,Breezes Road_TWO
Cluster 19536,Burwood
Cluster 19546,Victoria Street
Cluster 19585,Bampton Street
Cluster 19589,Avonside Drive_TWO
Cluster 19629,Slater Street
Cluster 19655,Straven Road
Cluster 1973,Bower Avenue_THREE
Cluster 19803,St Heliers Crescent
Cluster 19919,Central City
Cluster 19972,Gracefield Avenue
Cluster 19975,Wynyard Quarter
Cluster 19988,Aldwins Road
Cluster 20060,Bishop Street
Cluster 20077,Westminster Street
Cluster 20254,Farnley Place
Cluster 20279,Blake Street
Cluster 20381,Cornet Lane
Cluster 20421,Castletown Place
Cluster 20458,Wilsons Road South
Cluster 20584,Ottawa Road
Cluster 20603,McFaddens Road_ONE
Cluster 20694,Bellamy Avenue
Cluster 20726,Lichfield Street
Cluster 20912,Welcome Bay Link Road
Cluster 21125,Tanu Place
Cluster 21267,Mollett Street
Cluster 21309,Mayfield Avenue
Cluster 21334,Sandford Road
Cluster 21446,Retreat Road
Cluster 2161,Glenrowan Avenue
Cluster 21753,Levin Street
Cluster 21841,McDougall Avenue
Cluster 21965,Strickland Street
Cluster 22130,Rowan Avenue
Cluster 22758,SH 29A
Cluster 23463,Crombie Green
Cluster 2484,Speight Street
Cluster 25121,Show Place
Cluster 26263,Laings Road
Cluster 26876,Vintry Drive
Cluster 3094,Manchester Street
Cluster 3431,Seafield Place
Cluster 3503,Hills Road
Cluster 354,Baker Street
Cluster 4211,Scotston Avenue
Cluster 4340,Banks Avenue
Cluster 469,Bower Avenue_FOUR
Cluster 5075,Hagley Avenue
Cluster 518,Fendalton Road
Cluster 5212,Rawson Street
Cluster 5280,Deans Avenue
Cluster 535,Mowbray Street
Cluster 5491,Cradock Street
Cluster 5966,Niven Street_ONE
Cluster 6630,Cashel Street
Cluster 692,Rudds Road
Cluster 7358,Neville Street
Cluster 7469,Hilton Street
Cluster 7541,Brittan Street
Cluster 762,Greenhaven Drive_ONE
Cluster 776,Flemington Avenue
Cluster 830,McFaddens Road_TWO
Cluster 870,Greenhaven Drive_TWO
Cluster 948,Niven Street_TWO
Cluster 958,Willryan Avenue
Cluster 971,Forth Street
Cluster Test,Austin Street
