Cluster,mat_file_name,X_c,Y_c,lon_c,lat_c,road,suburb,city,county,state,postcode,site name
Cluster 1083,0.5_3.3__TMCMC_2000.mat,1570932.202097973,5179737.514462464,172.64024106695797,-43.5347407,High Street,Central City,Christchurch,Christchurch City,Canterbury,8011,Central City_High Street
Cluster 1083,1.01_4.99_TMCMC_2000.mat,1570932.202097973,5179737.514462464,172.64024106695797,-43.5347407,High Street,Central City,Christchurch,Christchurch City,Canterbury,8011,Central City_High Street
Cluster 1083,0.5_3.3__TMCMC_2000.mat,1570935.6219141865,5179740.165836932,172.64028353355317,-43.53471696,High Street,Central City,Christchurch,Christchurch City,Canterbury,8011,Central City_High Street
Cluster 1083,1.01_4.99_TMCMC_2000.mat,1570935.6219141865,5179740.165836932,172.64028353355317,-43.53471696,High Street,Central City,Christchurch,Christchurch City,Canterbury,8011,Central City_High Street
Cluster 109,10_16__TMCMC_2000.mat,1576920.9660401423,5183214.376431723,172.71450790119545,-43.50364368,Palmers Road,New Brighton,Christchurch,Christchurch City,Canterbury,8083,New Brighton_Palmers Road
Cluster 109,10_16__TMCMC_2000_old.mat,1576920.9660401423,5183214.376431723,172.71450790119545,-43.50364368,Palmers Road,New Brighton,Christchurch,Christchurch City,Canterbury,8083,New Brighton_Palmers Road
Cluster 109,7.5_16__TMCMC_2000.mat,1576920.9660401423,5183214.376431723,172.71450790119545,-43.50364368,Palmers Road,New Brighton,Christchurch,Christchurch City,Canterbury,8083,New Brighton_Palmers Road
Cluster 109,7.5_16__TMCMC_2000_old.mat,1576920.9660401423,5183214.376431723,172.71450790119545,-43.50364368,Palmers Road,New Brighton,Christchurch,Christchurch City,Canterbury,8083,New Brighton_Palmers Road
Cluster 109,10_16__TMCMC_2000.mat,1576920.9660401423,5183214.376431723,172.71450790119545,-43.50364368,Palmers Road,New Brighton,Christchurch,Christchurch City,Canterbury,8083,New Brighton_Palmers Road
Cluster 109,10_16__TMCMC_2000_old.mat,1576920.9660401423,5183214.376431723,172.71450790119545,-43.50364368,Palmers Road,New Brighton,Christchurch,Christchurch City,Canterbury,8083,New Brighton_Palmers Road
